ticker,elem,loss_profit,max_d5y,min_d5y,avg_d5y,max_d3y,min_d3y,avg_dy3
IJR,p3y,profit,0.5902589,0.3893759,0.5494779,0.5902589,0.3375489,0.5457922
IJR,p5y,profit,0.5902589,0.3343745,0.5449283,0.5902589,0.3343745,0.5449283
IJR,p3y,loss,0.1280096,0,0.03824013,0.1280096,0,0.03824013
IJS,p3y,profit,0.6137473,0.4150715,0.5768533,0.6137473,0.4150715,0.5768533
IJS,p5y,profit,0.6137473,0.3579101,0.5717995,0.6137473,0.3579101,0.5717995
IJS,p3y,loss,0.1385229,0,0.05523366,0.1385229,0,0.05523366
IJS,p5y,loss,0.02274931,0,0.01137465,0.02274931,0,0.01137465
IJT,p3y,profit,0.5797602,0.3819982,0.5405991,0.5797602,0.3819982,0.5405991
IJT,p5y,profit,0.5797602,0.3819982,0.5382039,0.5797602,0.3819982,0.5382039
IJT,p3y,loss,0.1250947,0,0.02687532,0.1250947,0,0.02687532
ISCB,p3y,profit,0.6186178,0.2663996,0.6049731,0.6186178,0.2429015,0.5575882
ISCB,p5y,profit,0.6186178,0.2663996,0.6036912,0.6186178,0.2663996,0.6018627
ISCB,p3y,loss,0.0455411,0.03356044,0.04067473,0.0455411,0.03356044,0.03944131
ISCG,p3y,profit,0.5816505,0.5816505,0.5816505,0.5816505,0.2286723,0.556164
ISCG,p5y,profit,0.5816505,0.5816505,0.5816505,0.5816505,0.5816505,0.5816505
ISCV,p3y,profit,0.6483215,0.2434364,0.5962796,0.6483215,0.2434364,0.5644285
ISCV,p5y,profit,0.6483215,0.2434364,0.6084447,0.6483215,0.2434364,0.6056502
ISCV,p3y,loss,0.09583764,0.04419334,0.07243794,0.09583764,0.04419334,0.07243794
ISCV,p5y,loss,0.03754024,0,0.02782593,0.03754024,0,0.02782593
IWM,p3y,profit,0.5963274,0.4143406,0.5643202,0.5963274,0.4125413,0.5498651
IWM,p5y,profit,0.5963274,0.3589315,0.5624269,0.5963274,0.3589315,0.5624269
IWM,p3y,loss,0.1400618,0,0.03872852,0.1400618,0,0.03872852
IWN,p3y,profit,0.629758,0.4378098,0.5924289,0.629758,0.2579417,0.5852047
IWN,p5y,profit,0.629758,0.3706361,0.5928049,0.629758,0.2579417,0.5833132
IWN,p3y,loss,0.1540888,0,0.05278002,0.1540888,0,0.05278002
IWN,p5y,loss,0.1320825,0,0.05475442,0.1320825,0,0.05475442
IWO,p3y,profit,0.5805282,0.3284479,0.5561338,0.6055813,0.1585476,0.5451886
IWO,p5y,profit,0.5805282,0.2963056,0.5569089,0.5805282,0.2963056,0.5569089
IWO,p3y,loss,0.5573044,0,0.05384362,0.1606001,0,0.03156676
